ɪˈkwɪvəkeɪt|ɪ'kwɪvəkeɪt,equivocate,v模棱两可地说;支吾其词;说谎,vi. 使用模棱两可的话隐瞒真相； 躲闪；推诿；含糊其词；说话支吾，态度暧昧；,He is equivocating a lot about
ɪˌkwɪvəˈkeɪʃn|ɪˌkwɪvəˈkeʃən,equivocation,n模棱两可的话;含糊话,n. 模棱两可的话，含糊话；,without equivocation
ɪˈrædɪkeɪt|ɪˈrædɪˌket,eradicate,v根除|扑灭,vt. 摧毁； 完全根除；|n. 根除者； 褪色灵；,eradicate poverty;deracinate;extirpate
ɪˈreɪz|ɪˈreɪs,erase,v擦掉;抹去,vt. 擦掉； 抹去； 清除；,rase v.消除(记忆等)*** 破坏;erase my name from the list
ɪˈreɪʒə(r)|ɪˈreʃɚ,erasure,n擦掉;擦痕,n. 擦掉，删去； 删掉的词； 消音； 抹音,avoid accidental erasure of data
ɪˈrekt|ɪˈrɛkt,erect,a竖立的;笔直的;直立的,vt. 使直立，使竖起； 建立，创立； 安装； [医]使勃起|adj. 直立的，垂直的； （头、手等）朝上举的； 直竖的； [医]勃起的,stand erect;It took a couple of hours to erect the tent.
ɜ:(r)|er,err,v犯错误;出错,vi. 犯错，做错； 走上歧途； 犯罪；,It’s always best to err on the side of caution . (be more careful or safe than is necessary )
ˈerənd|ˈɛrənd,errand,n差使|差事,n. 差使； 差事； 使命；,running errands go on an errand your errand was to mail the letters
ɪˈrætɪk|ɪˈrætɪk,erratic,a反复无常的|古怪的,adj. 飘忽不定的； 行为古怪，反复无常； （运动或行为）不规则的；|n. 古怪的人； [地]漂砾；,erratic behavior
ˈeəzæts|ˈersɑts,ersatz,a代用的;假的,adj.& n. 代用 （品）； 仿造（物）；,ersatz coffee
ˈɜ:stwaɪl|ˈɜrstwaɪl,erstwhile,a从前的;过去的,adj. 从前的； 以前的； 原来的； 往昔的|adv. 从前； 往昔地；,his erstwhile allies
ˈerudaɪt|ˈɛrjəˌdaɪt*** ˈɛrə-,erudite,a博学的;饱学的,adj. 博学的，有学问的； 笃行不倦； 渊深； 渊识博学,erudite scholar
ɪˈrʌpt|ɪˈrʌpt,erupt,v爆发|喷出(熔岩、水、气体、泥浆等),vi. 爆发； 喷发； 突然发生； 出疹|vt. 爆发；,erupt at;He erupted into loud*** desperate sobs.
ˈeskəleɪt|ˈɛskəˌlet,escalate,v升级|扩大;上升,vt. 使逐步升级； 使逐步上升； 乘自动梯上升；|vi. 逐步上升； （战争）逐步升级； 逐步扩大； 像乘自动梯上升,Her fear was escalating into panic.
ˌeskə'leɪʃn|ˌeskə'leɪʃn,escalation,n逐步上升;逐步增强,n. 扩大，增加；,a rapid escalation in value
ɪˈskeɪpɪzəm|ɪˈskeˌpɪzəm,escapism,n逃避现实(的习气),n. 逃避现实，空想；,Books were a form of escapism from the real world.
ɪsˈtʃu:|ɛsˈtʃu,eschew,v避开;戒绝,vt. 避开，回避；,eschew political discussion;evade;shun
ɪ'sɒfəɡəs|aɪˈsɑfəɡəs,esophagus,n食道;食管,n. 食管，食道；,.
ˌesəˈterɪk|ˌɛsəˈtɛrɪk,esoteric,a秘传的|神秘的,adj. 秘传的； 机密的； 难解的，深奥的； 限于少数人的,esoteric language
ˈespiənɑ:ʒ|ˈɛspiəˌnɑʒ*** -nɪdʒ,espionage,n间谍活动,n. 侦察； 间谍活动；,spying guilt of espionage espial n.观察*** 侦探*** 间谍活动
ɪ'spaʊzl|ɪˈspaʊzəl*** -səl,espousal,n拥护;支持,n. 支持； 拥护； <古>结婚； 订婚,spouse;her espousal of liberal reforms
ɪˈspaʊz|ɪˈspaʊz,espouse,v支持;拥护,vt. 拥护； 赞助； 嫁娶；,spouse;espouse a cause/policy etc
eˈspaɪ|ɪˈspaɪ,espy,v(从远处等)突然看到,vt. 看到；,espy doing sth espier
ɪˈsenʃl|ɪˈsɛnʃəl,essential,a本质的|n要素;实质,adj. 基本的； 必要的； 本质的； 精华的|n. 必需品； 基本要素； 必不可少的东西；,essential aspects of
ˈestɪməbl|ˈɛstəməbəl,estimable,a值得尊敬的|可估计的,adj. 值得尊敬的； 可估计的； 难能可贵；,an estimable professor; an estimable loss
ɪˈstreɪndʒd,estranged,a疏远的;分开的;分离的,adj. 疏远的； 隔绝的，疏离的； 久未联系的； （夫妻）分居的|v. 使疏远； 使隔离； 使离间(estrange的过去式和过去分词)；,sb’s estranged husband/wife
etʃ|ɛtʃ,etch,v蚀刻|铭记,vt.& vi. 蚀刻，浸蚀； 刻划，描述； 铭刻在心里/记忆里/脑海里； 铭记|n. 腐蚀剂；,a gravestone with three names etched on it
ˈetʃɪŋ|ˈɛtʃɪŋ,etching,n蚀刻术|蚀刻板画,n. 蚀刻版画；|v. 用针和酸类在金属板上蚀刻（图画等）( etch的现在分词 )； （感情）明显地表露在（脸上）； （脸上）明显流露出（感情）； 铭刻在心里/记忆里/脑海里,Mary is very keen on etching
ɪˈtɜ:nl|ɪˈtɜrnl,eternal,a永久的;永恒的,adj. 永恒的，永久的； 似乎不停的，没完没了的； 不朽的； 永生的|n. 永恒的事物； Eternal 上帝，与定冠词the 连用；,eternal love
iˈθɪəriəl|iˈθɪriəl,ethereal,a太空|轻巧的,adj. 天上的； 轻飘的； [化]乙醚的；,ethereal music;ethereal heavens
eθɪks|'eθɪks,ethics,n伦理学|道德规范,n. 道德准则； 伦理标准 ；,ethics and moral philosophy
ˈeθnɪk|ˈɛθnɪk,ethnic,a种族的,adj. 种族的，部落的； 某文化群体的；|n. 少数民族的成员；,ethos; ethnic issues/music
eθˈnɒlədʒi|eθˈnɑlədʒi,ethnology,n人种学;人类文化学,n. 人种学，民族学；,Russian ethnology
ˈi:θɒs|ˈiθɑs,ethos,n(个人、团体或民族)道德风貌;思潮;信仰,n. 民族精神； 社会思潮； 气质；,live according to an ethos of sharing and caring
ˈetɪket|ˈɛtɪˌkɛt*** -kɪt,etiquette,n礼仪|礼节,n. 礼仪，礼节； 规矩； 礼数；,strict rules of professional etiquette
ˌetɪˈmɒlədʒi|ˌetɪˈmɑlədʒi,etymology,n语源学,n. 词源学，词源说明；,This dictionary does not give etymologyies
ˌju:kəˈlɪptəs|ˌjukəˈlɪptəs,eucalyptus,n桉树,n. 桉树； 桉属植物；,eucalyptus leaves
ˌju:lə'dʒɪstɪk|ˌjuləˈdʒɪstɪk,eulogistic,a颂扬的;歌功颂德的,adj. 作颂词的，赞颂的；,eulogize ;eulogistic poems
ˈju:lədʒaɪz|ˈjuləˌdʒaɪz,eulogize,v称赞;颂扬,vt. 称赞，颂扬； 讴歌；,The poem does not eulogize the dead soldiers.
ˈju:lədʒi|ˈjulədʒi,eulogy,n颂词;颂文,n. 颂词，颂文；,The minister delivered a long eulogy.
ˈju:fəmɪzəm|ˈjufəˌmɪzəm,euphemism,n婉言;委婉的说法,n. 委婉语； 委婉说法；,‘Pass away’ is a euphemism for ‘die’.
ju:ˈfəʊniəs|juˈfoʊniəs,euphonious,a悦耳的,adj. <正>悦耳的；,euphoria ;euphonious name
ju:ˈfɔ:riə|juˈfɔriə*** -ˈfor-,euphoria,n幸福愉快感,n. 精神欢快； 幸福感； 欣快；,in a state of euphoria
ɪˈvækjueɪt|ɪˈvækjuˌet,evacuate,v撤退|撤离,vt. 撤离，疏散； 排泄； 腾出（房子等）； 除清，抽空|vi. 排空（胃肠）； 疏散； 撤退；,evacuate somebody from/to something
ɪˈveɪd|ɪˈved,evade,v逃避|规避,vt. 逃避，躲避； 避开； 规避； 逃脱|vi. 逃避； 规避； 逃脱；,evade military service
ɪˌvæljʊ'eɪʃn|ɪˌvæljʊˈeʃən,evaluation,n评价;评估,n. 估价； <数>赋值； 估计价值； [医学]诊断,.
ˌi:vəˈnesnt|ˌɛvəˈnɛsənt,evanescent,a迅速消失的;短暂的,adj. 迅速消失遗忘的，短暂的； 生命无常；,evanescent fame; evanesce vi.逐渐看不见*** 消散
ɪˈvæpəreɪt|ɪˈvæpəˌret,evaporate,v(使某物)蒸发掉,vt.& vi. （使某物）蒸发掉；|vi. 消失； 发散气体； 蒸发；|vt. 使脱水； 使蒸发； 使挥发； 使沉淀,Most of the water had evaporated. ;His courage had evaporated away.
ɪˈveɪʒn|ɪˈveʒən,evasion,n躲避;借口,n. 逃避，规避，躲避某人； 遁辞，借口；,evasion of responsibility
ɪˈveɪsɪv|ɪˈvesɪv,evasive,a迥避的;逃避的;托辞的,adj. 逃避的； 推托的； 闪烁其词的，含糊的； 鬼,evasive tactics
ˈi:vn|ˈivən,even,a平的,adv. 甚至； 更加；  即使； 恰巧在…时候|adj. 公平的； 平坦的；  偶数的； 平均的|vt. 使平坦； 使相等；|vi. 变平； 成为相等；,even things up a bit
i:vən'hændɪd|'ivən'hændɪd,evenhanded,a公平的;不偏不倚的,adj. 公平的，公平无私的；,He was very even-handed in the way he treated his employees.
ɪˈvɪkt|ɪˈvɪkt,evict,v(依法)驱逐,vt. 依法驱逐（房客等）； 依法收回（房屋等）；,evict from
ɪ'vɪkʃn|ɪ'vɪkʃn,eviction,n(对房客或佃户的)驱逐,n. 逐出，赶出； （租地，租房等的）收回；,The family now faces eviction from their home.
ɪˈvɪns|ɪˈvɪns,evince,v表明;表示,vt. 表明，标示；,evince distaste
ɪˈvɒkətɪv|ɪˈvɑkətɪv,evocative,a唤起的;激起的,adj. 唤起的； 激起的； 唤出的；,evocative words;Her story is sharply evocative of Italian provincial life
ɪˈvəʊk|ɪˈvoʊk,evoke,v引起|唤起,vt. 产生，引起； 唤起；,Her speech evoked a hostile response.
iˈvɒlv|iˈvɑlv,evolve,v使逐渐形成;进化,vt. 使发展； 使进化； 设计，制订出； 发出，散发|vi. 发展； [生]通过进化进程发展或发生；,evolve from/to
ju:|ju,ewe,n母羊,n. 母羊；,ram
ˈju:ə(r)|ˈjuɚ,ewer,n大口水罐,n. 大口水壶，水罐；,.
ɪgˈzæsəbeɪt|ɪgˈzæsərbeɪt,exacerbate,v加重;恶化,vt. 使恶化； 使加重； 激怒；,exacerbate the difficulties of
ɪgˈzækt|ɪɡˈzækt,exact,a精确的|v强求;强索付款,adj. 准确的； 严密的； 精密的，精确的；|vt. 要求； 苛求； 迫使； 强求,he has exacted a written apology
ɪgˈzæktɪŋ|ɪɡˈzæktɪŋ,exacting,a苛求的|要求严格的,adj. 费劲的； 需细致小心的； （标准）严格的； （对别人）严格的|v. 要求( exact的现在分词 )； 苛求； 迫使； 强迫,exacting standards/demands/requirements etc
ɪgˈzæktɪtju:d|ɪgˈzæktɪtud,exactitude,n极端正确性或精确性,n. 正确； 精密； 精确； 严格,with fine exactitude
ɪgˈzædʒəreɪt|ɪgˈzædʒəreɪt,exaggerate,v夸张|夸大,vt.&vi. （使）扩大； （使）增加； 夸张；,it’s easy/difficult/impossible to exaggerate something
ɪgˌzædʒəˈreɪʃn|ɪɡˌzædʒəˈreʃən,exaggeration,n夸张,n. 夸张； 夸大； 夸张的言语； 夸张的手法,It is no exaggeration to say that
ɪgˈzɔ:lt|ɪɡˈzɔlt,exalt,v(高度)赞扬;歌颂,vt. 提高，提升； 赞扬； 使得意； 加强,exalt to;extol
ˌegzɔ:lˈteɪʃn|ˌɛɡzɔlˈteʃən,exaltation,n得意;高兴,n. 兴奋，得意洋洋；,That sounds like a slight exaggeration.
ɪgˈzæspəreɪt|ɪɡˈzæspəˌret,exasperate,v激怒;使恼怒,vt. 使恼怒； 使恶化； 使加剧；,It exasperates me to hear comments like that.
ˈekskəveɪt|ˈɛkskəˌvet,excavate,v挖掘|挖出,vt. 挖掘； 开凿； 挖出； 发掘|vi. 发掘；,Schliemann excavated the ancient city of Troy.
ɪkˈsi:d|ɪkˈsid,exceed,v超过|超出,vt. 超过； 超越； 胜过； 越过…的界限|vi. 突出，领先；,The number admitted must not exceed 200. 容纳的数目不得超过200.
ɪkˈsel|ɪkˈsɛl,excel,v善于;擅长于,vt. 优于，擅长；|vi. 胜过；,Rick has always excelled at foreign languages.
ɪkˈsepʃənl|ɪkˈsɛpʃənəl,exceptional,a特别(好)的,,in exceptional circumstances .
ɪkˈses|ˈɛkˌsɛs,excess,n过分;过度,n. 超过； 超额量； 多余量； 放肆|adj. 超重的，过量的，额外的；,pay for the excess;Cut any excess fat from the meat.
ˈeksaɪz|ˈeksaɪz,excise,v切除;删去,vt. 切除，删去； 向…征税； 向…索取高价；|n. 国内货物税，消费税； 执照税； （英国的）国产税务局；,an excise officer;excise every scrap of cancerous tissue;exercise
ɪkˌsaɪtə'bɪlətɪ|ɪkˌsaɪtə'bɪlətɪ,excitability,n易兴奋性;易激动性,n. 可激发性，兴奋性；,abnormal excitability
ɪkˈskleɪm|ɪkˈsklem,exclaim,v惊叫;呼喊,vt.& vi. 呼喊； 惊叫； 大声说；,‘No!’ she exclaimed in shock.
ˌekskləˈmeɪʃn|ˌɛkskləˈmeʃən,exclamation,n惊叹词;惊呼,n. 呼喊，惊叫； 感叹； 感叹语； 感叹词,horrified exclamations of disgust
ɪkˈsklu:d|ɪk'sklud,exclude,v排斥|排除,vt. 排除，不包括； 排斥； 驱除，赶出；,Women are often excluded from positions of authority.;preclude
ɪkˈsklu:sɪv|ɪkˈsklusɪv,exclusive,a(人)孤僻的|(物)专用的,adj. 专用的； 高级的； 排外的； 单独的|n. 独家新闻； 专有物； 独家经营的产品（或项目、设计等）； 排外者,exclusive club/shop
ˌeksˈkɔ:rieɪt|ɪkˈskɔriˌet*** -ˈskor-,excoriate,v撕去皮|严厉批评,vt. 擦伤； 擦破（皮肤）； 剥（皮）； 严厉指责,an excoriating review in ‘The Times’ ;excoriate me in front of the nurses
ɪkˈskri:t|ɪkˈskrit,excrete,v排泄;分泌,vt. 排除； 排泄； 分泌； 排出,discrete; secrete ;pores excrete sweat and dirt
ˈekskʌlpeɪt|ˈɛkskəlˌpet*** ɪkˈskʌl-,exculpate,v开脱;申明无罪,vt. 开脱，使无罪；,exculpate from sth
ɪkˈskɜ:ʃn|ɪkˈskɜrʒn,excursion,n短途旅游,n. （尤指集体）远足； 短途旅行，游览； 离题； [机]冲程,We went on an excursion to the Pyramids.
eks'kɜ:sɪv|ɪkˈskɚsɪv,excursive,a离题的;随意的,adj. 离题的；,excurse vi.远足*** 短程旅行*** 游览 excursive topic
ˈeksɪkrəbl|ˈɛksɪkrəbəl,execrable,a极坏的,adj. 可恶的，讨厌的；,execrable manners crab 螃蟹
eksɪkreɪt|ˈɛksɪˌkret,execrate,v憎恶|咒骂,vt. 憎恶； 厌恶； 诅咒； 咒骂,execrate the absurd custom
ˈeksɪkju:t|ˈɛksɪˌkjut,execute,v执行;履行|将某人处死,vt. 执行； 处死，处决； 履行； 完成,execute a plan ;beautifully/skilfully/poorly etc executed
ɪgˈzempləri|ɪɡˈzɛmpləri,exemplary,a可作楷模的,adj. 典型的； 示范的； 惩戒性的；,exemplar n.模范*** 榜样*** 标本a company with an exemplary record on environmental issues
ɪgˈzemplɪfaɪ|ɪɡˈzɛmpləˌfaɪ,exemplify,v是…的典型,vt. 是…的典型； 例示，举例证明； [法]复印，制成核正誊本；,The building exemplifies the style of architecture which was popular at the time.
ɪgˈzempt|ɪɡˈzɛmpt,exempt,a被免除的|v使免除,vt. 使免除，豁免；|adj. 被免除的，被豁免的；|n. 被免除（义务，责任）的人； 免税人；,exempt from working overtime ;be exempt from
ɪgˈzɜ:t|ɪgˈzɜrt,exert,v运用(力量等),vt. 发挥； 运用； 使受（影响等）； 用（力）,He has exerted himself tirelessly on behalf of the charity.
eksˈheɪl|ɛksˈhel***ɛkˈhel,exhale,v呼出(气),vt. 发散出； 放出，放射； 使蒸发； [医]渗出|vi. 呼气； 放出； 发散；,Take a deep breath*** then exhale slowly ; inhale
ɪgˈzɔ:st|ɪɡˈzɔst,exhaust,n废气;蒸气v使非常疲倦,vt. 用尽，耗尽； 使精疲力尽； 排出； 彻底探讨|vi. 排气；|n. （排出的）废气； 排出； 排气装置；,A full day’s teaching exhausts me.
ɪgˈzɔ:stɪv|ɪɡˈzɔstɪv,exhaustive,a彻底的;无遗漏的,adj. 彻底的，透彻的； 消耗的，使枯竭的； 详尽的，无遗的； 详尽无遗,The list is by no means exhaustive .
,L15,,,
ɪgˈzɪləreɪt|ɪɡˈzɪləˌret,exhilarate,v使高兴,vt. 使高兴，使兴奋；|adj. 使人高兴的，令人兴奋的；,Dan felt strangely exhilarated by the day’s events.
ɪɡˌzɪlə'reɪʃn|ɪɡˌzɪləˈreʃən,exhilaration,n高兴;活跃,n. 愉快的心情，高兴； 豪兴；,She enjoyed the exhilaration of jet-skiing.
ɪgˈzɔ:t|ɪgˈzɔrt,exhort,v力劝;勉励,vt.& vi. 劝告，劝说； 倡导； 勉励；,advise coax exhort sb to do sth
eksɪdʒənt|ˈɛksədʒənt,exigent,a需要立即采取行动的,adj. 急迫的；  紧急的； 苛求的；  不断要求的,financial conditions remain unusual and exigent;urgent
ˌegzɪˈstenʃəl|ˌɛɡzɪˈstɛnʃəl*** ˌɛksɪ-,existential,a有关存在的;存在主义的,adj. 有关存在的，存在主义的，存在判断的；,existential value
ˈeksədəs|ˈɛksədəs,exodus,n大批离去;成群外出,n. 离去，退出； 古代以色列人出埃及；,the exodus from the countryside to the towns in the 19th century
ɪgˈzɒnəreɪt|ɪgˈzɑnəreɪt,exonerate,v免除责任|确定无罪,vt. 使免罪，免除；|n. 免罪，免除；|adj. 免罪的，免除的；,exonerate from responsibility;absolve
ɪgˈzɔ:bɪtənt|ɪgˈzɔrbɪtənt,exorbitant,a过分的;过度的,adj. 过度的，极高的；,exorbitant rents/prices
eksɔ:saɪz|'eksɔˌsaɪz,exorcise,v驱魔|去除(坏念头等),vt. （用祈祷等）驱除（恶魔），给（某人、某地）驱除妖魔；|v. （用祈祷等）驱除（恶魔），给（某人、某地）驱除妖魔( exorcize的现在分词 )；,exorcise the ghosts
ɪgˈzɒtɪk|ɪgˈzɑtɪk,exotic,a珍奇的|来自异国的,,exotic places
ɪkˈspænd|ɪkˈspænd,expand,v扩大;膨胀,vt. 使…变大； 扩张； 详述；|vi. 扩展； 发展； 张开； 展开,expand the size of ;expand on sth
ɪkˈspænsɪv|ɪkˈspænsɪv,expansive,a(指人)健谈的;开朗的,adj. 易扩张的，膨胀性的； 胸襟开阔的，豁达的； 辽阔的； 健谈的,expansive cement
ɪk'spi:dɪənsɪ|ɪkˈspidiənsi,expediency,n方便|权宜之计,n. 适宜； 方便； 合算； 利己,political expediency ; out of sheer expediency
ɪkˈspi:diənt|ɪkˈspidiənt,expedient,n权宜之计;临时手段|a(指行动)有用的,adj. 应急有效的，权宜之计的； 方便的，便利的，有利的；|n. 应急办法，权宜之计；,it is expedient to do something
ˌekspəˈdɪʃəs|ˌɛkspɪˈdɪʃəs,expeditious,a迅速的;敏捷的,adj. 迅速而有效率的，迅速完成的；,an expeditious response
ɪkˈspel|ɪkˈspɛl,expel,v排出|开除,vt. 驱逐； 赶走； 把…除名； 排出（气体等）,expel smoke from the lungs
ɪkˈspend|ɪkˈspɛnd,expend,v花费|用光,vt. 花费； 耗尽； 用光；,expend energy/effort/time/resources etc ;expend something in/on (doing) something
ɪkˈspendɪtʃə(r)|ɪkˈspɛndətʃɚ,expenditure,n消耗;支出,n. 花费，支出； 费用，经费； （尤指金钱的）支出额； （精力、时间、材料等的）耗费,reduce public expenditure
ˌekspɜ:ˈti:z|ˌekspɜrˈtiz,expertise,n专门技术;专业知识,n. 专门知识或技能； 专家的意见； 专家评价，鉴定；,share your expertise with
ˈekspieɪt|ˈɛkspiˌet,expiate,v赎罪;补偿,vt. <正>为（所犯罪过）接受惩罚，赎（罪）；,expiate one's sin
ˌekspəˈreɪʃn|ˌɛkspəˈreʃən,expiration,n期满;终止,n. 满期； 截止； 呼气； （气的）呼出,expiration date ;before the expiration of
ɪkˈspaɪə(r)|ɪkˈspaɪr,expire,v期满|去世,vi. 期满； 文件、协议等（因到期而）失效； 断气； 逝世,My passport expires next week.
ˈeksplɪkeɪt|ˈɛksplɪˌket,explicate,v详细解说,vt. <正>解释，说明（文章或计划等）； 引申，阐述 （学说、理论、原理、原则等）；,explicating it is difficult.;explain
ɪkˈsplɪsɪt|ɪkˈsplɪsɪt,explicit,a清楚明确的,,be explicit about sth;implicit
ɪkˈsplɔɪt|ɪkˈsplɔɪt,exploit,v剥削|开发利用n英勇行为,vt. 开采； 开拓； 利用（…为自己谋利）； 剥削|n. 功绩； 功劳； 勋绩；,exploit our own coal;His wartime exploits ; exploit one's talents
